1;1;ALFA ROMEO;0;1.jpg;alfa-romeo
2;2;AUDI;0;2.jpg;audi
3;3;BMW;0;3.jpg;bmw
4;4;CHERY;0;4.jpg;chery
5;5;CHEVROLET;0;;chevrolet
6;6;CHRYSLER;0;;chrysler
7;7;CITROEN;0;;citroen
8;8;DACIA;0;;dacia
9;9;DADI;0;;dadi
10;10;100 89-91;2;;100-89-91
11;11;80 87-91;2;;80-87-91
12;12;A5 95-;2;;a5-95-
13;13;A3 05-;2;;a3-05-
14;14;Бампер передний Audi 100;10;;bumper-peredniy-audi-100
15;15;Капот Audi 100;10;;kapot-audi-100
16;16;Фара левая Audi 100;10;;fara-levaya-audi-100
17;17;Фара правая Audi 100;10;;fara-pravaya-audi-100
18;18;Решетка радиатора Audi 100;10;;reshetka-audi-100
19;19;Решетка бампера средняя Audi 100;10;;reshetka-bampera-audi-100
20;20;Решетка бампера левая Audi 100;10;;reshetka-bampera-levaya-audi-100